topic_id,term_rank,term,weight
70,3,ecb rate,0.0373366404076995
70,4,eurozone,0.026985803768141556
70,5,euro zone,0.02036544022238155
70,6,ecb cut,0.02000599412542367
70,7,eur usd,0.01837505358479302
70,8,ahead ecb,0.01662500853160727
70,9,eur,0.01606929698638431
70,10,zone,0.01606929698638431
71,1,better value,0.18152817418447958
71,2,better,0.11445224135107765
71,3,vs,0.10804638882762099
71,4,value option,0.10786617438491904
71,5,value,0.10677343868520094
71,6,stock better,0.09768882631813468
71,7,stock right,0.09241671974862634
71,8,stock value,0.09059315058355978
71,9,value stock,0.08820278588377652
71,10,value investors,0.08220025708745206
72,1,apple,0.09891056220058966
72,2,card,0.07655909526337495
72,3,apple credit,0.06689380986945596
72,4,apple card,0.06114057331723749
72,5,credit card,0.05706888330385851
72,6,card partnership,0.04524634618503609
72,7,deal apple,0.036625876101446374
72,8,partnership apple,0.03384805040435201
72,9,card program,0.03278569084600946
72,10,partnership,0.031297509447468744
73,1,chase,0.04396639068847157
73,2,branch,0.03467711645014758
73,3,chase opens,0.033160683731724205
73,4,branches,0.026627273571559588
73,5,chase bank,0.023767442810520862
73,6,opens,0.02145093023463468
73,7,expansion,0.017367604611840788
73,8,branch chase,0.015244017407575994
73,9,branches chase,0.014675323486253274
73,10,bunker labs,0.014675323486253274
74,1,mortgage,0.09496033203683696
74,2,mortgage rates,0.08702800926441741
74,3,rates,0.045070410916977624
74,4,lenders,0.04234402812216212
74,5,mortgages,0.03555763263892752
74,6,sub,0.03320860483751917
74,7,cut mortgage,0.030477461032973992
74,8,price war,0.02791743929549432
74,9,nationwide,0.02691773800881824
74,10,rates lenders,0.026289500561867355
75,1,etf,0.06035724160369632
75,2,management launches,0.05161099204854153
75,3,asset management,0.04029665210334523
75,4,active,0.03693245371980465
75,5,etfs,0.03464646078334946
75,6,asset,0.03193467225309744
75,7,management,0.030496423571229506
75,8,launches,0.024668584957063207
75,9,investment management,0.022648751385083883
75,10,launches active,0.022632762632319288
76,1,analyst calls,0.1205540986024967
76,2,street analyst,0.10455278545900146
76,3,calls,0.08755661112975371
76,4,downgraded wall,0.061151934932883414
76,5,downgraded,0.05957827416948621
76,6,analyst,0.05512296377540202
76,7,upgraded,0.05285673112485436
76,8,upgraded wall,0.04473546503984743
76,9,notable analyst,0.03995336545744692
76,10,calls week,0.03823788671995655
77,1,lawsuit,0.05038462876163561
77,2,judge,0.03187899773271776
77,3,staveley,0.029132755667024925
77,4,settle gender,0.026181747947642952
77,5,sued,0.0233353069398947
77,6,gender,0.022990639887099908
77,7,court,0.02238003772126856
77,8,arbitration,0.022048608946393527
77,9,gender discrimination,0.021818123289702458
77,10,trader,0.020376587737285227
78,1,golf,0.0372597042524118
78,2,sports,0.030715667827378796
78,3,artists,0.025893186207058605
78,4,athletes,0.024643498673631376
78,5,art,0.020715564192669594
78,6,global sports,0.019361719326162697
78,7,welcomes,0.019120062759032313
78,8,sponsor,0.018264521731348692
78,9,sponsorship,0.01759179537119245
78,10,academy,0.01696135038834447
79,1,board,0.05593443992709449
79,2,chairman,0.039921187314731627
79,3,georges elhedery,0.03440532278941392
79,4,georges,0.03370660375264341
79,5,elhedery,0.0331451083773181
79,6,executive board,0.029493278283562983
79,7,chair,0.02917456968489393
